block,10,10,true,false,false,false
block,30,10,true,true,false,false
block,50,10,true,true,false,false
block,70,10,true,true,false,false
block,90,10,true,true,false,false
block,110,10,true,true,false,false
block,130,10,true,true,false,false
block,150,10,true,true,false,false
block,170,10,true,true,false,false
block,190,10,true,true,false,false
block,210,10,true,true,false,false
block,230,10,true,true,false,false
block,250,10,true,true,false,false
block,270,10,true,true,false,false
block,290,10,true,true,false,false
block,310,10,true,true,false,false
block,330,10,true,true,false,false
block,350,10,true,true,false,false
block,370,10,true,true,false,false
block,390,10,false,true,false,false
